"","obese","gender","age","marriage","min"
"1",0,1,28,1,300
"2",1,0,48,3,180
"3",0,1,73,1,120
"4",0,1,61,1,300
"5",0,1,45,1,300
"6",0,1,28,1,240
"7",0,0,32,3,60
"8",0,0,42,1,360
"9",0,1,64,2,120
"10",0,1,51,3,480
"11",1,0,73,1,10
"12",0,1,30,5,120
"13",0,1,62,2,300
"14",0,0,29,1,60
"15",0,0,55,1,480
"16",0,0,36,1,180
"17",1,1,27,1,180
"18",0,0,25,5,240
"19",0,0,26,5,120
"20",1,1,25,1,600
"21",0,1,50,1,360
"22",0,0,73,2,300
"23",1,0,69,3,200
"24",0,1,59,1,60
"25",0,1,60,2,180
"26",1,1,31,5,300
"27",0,1,64,3,480
"28",0,0,21,5,360
"29",0,1,28,1,120
"30",0,0,54,1,180
"31",0,0,79,3,360
"32",0,1,23,5,540
"33",0,1,76,1,240
"34",0,0,76,1,720
"35",0,1,23,5,180
"36",1,1,72,3,360
"37",0,1,78,3,300
"38",0,0,53,1,180
"39",0,1,36,5,600
"40",0,0,68,1,240
"41",0,0,20,5,360
"42",0,1,80,2,600
"43",0,0,37,1,180
"44",1,1,71,1,360
"45",0,1,27,5,300
"46",0,0,34,5,180
"47",0,0,21,5,180
"48",1,1,61,3,720
"49",0,0,36,1,600
"50",0,1,75,1,360
"51",0,0,46,1,600
"52",0,1,46,3,720
"53",0,0,61,1,420
"54",0,0,35,1,180
"55",0,1,80,2,540
"56",0,1,73,1,360
"57",0,0,57,1,240
"58",0,0,79,1,240
"59",0,1,44,1,420
"60",1,0,56,3,720
"61",0,1,49,5,600
"62",1,1,74,2,200
"63",0,0,54,1,60
"64",0,0,32,3,300
"65",0,1,73,2,230
"66",0,0,66,1,180
"67",0,0,39,1,180
"68",0,0,60,1,240
"69",0,0,55,1,180
"70",0,0,80,2,240
"71",0,0,79,1,420
"72",1,1,61,1,540
"73",0,0,52,5,360
"74",0,1,49,5,180
"75",0,1,43,1,420
"76",0,0,80,1,180
"77",1,1,64,1,360
"78",0,1,79,1,360
"79",0,0,46,1,120
"80",0,1,49,1,480
"81",0,1,28,1,240
"82",0,0,76,1,240
"83",0,0,66,1,180
"84",0,0,32,5,540
"85",0,0,60,1,360
"86",0,1,60,5,180
"87",0,0,46,5,200
"88",0,1,27,5,300
"89",0,1,59,2,600
"90",0,1,76,2,60
"91",0,0,43,3,300
"92",1,1,49,1,240
"93",0,1,31,1,180
"94",0,1,41,1,180
"95",0,0,55,3,240
"96",0,1,42,3,240
"97",0,0,60,1,360
"98",0,0,47,1,180
"99",0,1,59,1,540
"100",0,1,80,2,180
"101",0,0,49,1,180
"102",0,0,31,5,360
"103",1,0,42,5,120
"104",0,0,46,1,30
"105",0,0,23,5,180
"106",0,1,42,1,240
"107",0,1,43,1,180
"108",0,1,56,1,360
"109",1,0,67,1,600
"110",1,0,53,5,360
"111",0,1,47,1,60
"112",0,0,24,5,300
"113",1,1,39,1,720
